Video_Name,Clip_Score
j1Pb8YU8wQo,0.6023728
89xTTczbv0E,0.63963526
FG1hCPijyj4,0.5266813
ATvKJ_HftNs,0.5550658
2n7xgho1gIo,0.60038024
nTq1Sd9N7E8,0.5533601
NsRj-9Y4fZ8,0.58099
OhM-Aeyqp6c,0.61085933
HTdrfsG2ikA,0.5456978
FFJb0M-cur0,0.62015945
khyuH_QfoWU,0.6032314
Dy8ogOaKk4Y,0.5804801
psWarhwc4eY,0.5787122
TlF8M_U7khI,0.55451506
npGwq_ZxVKk,0.57279325
agij_IxGjCI,0.5844566
kRpPu6OoP00,0.61306477
VpK8fpqPJT0,0.54007506
4jpXt-Y-Nm4,0.55585325
BLoTRK7sPk8,0.5845886
gYo-icA2848,0.5800066
vyit-1zKsZ4,0.6344797
1gBwyk4MGG8,0.5579478
QLzJDFevQHM,0.51800793
XYzJBJi_5S0,0.5385377
-A8qdoRJbPI,0.61310685
6i2sJwxw5Uc,0.5823782
UNXDA-h6pP8,0.5472571
Pt7s-mV8Ui0,0.5612576
noo8-_LYIpA,0.5739785
vbl7QeqfE-Q,0.62286025
eCSOQP9QTXI,0.60409385
UzivaxYf1iM,0.6032711
Ny_X4ZSbuKA,0.5874874
5xeCd1lQuXs,0.56587183
XZP93IEudag,0.59073246
4DVah3bZlV8,0.5915271
o4ah2I8YjkQ,0.6155495
-AndA2beJVc,0.61776674
ykXKit5hvJ8,0.5666763
G_SvwkqZJAY,0.5618471
Le122vas9aM,0.5791504
VMZtG0O9sbU,0.5955711
VJyTDiFJxhI,0.57240707
rslUfl6OsV4,0.6303741
eAIKvD_gLJo,0.5514925
F1ma0rjK1hc,0.56333977
wZORPVmXN7k,0.58386534
4xgPBb1xHYI,0.62597466
