Video_Name,Clip_Score
j1Pb8YU8wQo,0.24094911
89xTTczbv0E,0.25585407
FG1hCPijyj4,0.2106725
ATvKJ_HftNs,0.2220263
2n7xgho1gIo,0.24015209
nTq1Sd9N7E8,0.22134405
NsRj-9Y4fZ8,0.23239602
OhM-Aeyqp6c,0.24434371
HTdrfsG2ikA,0.21827911
FFJb0M-cur0,0.2480638
khyuH_QfoWU,0.24129255
Dy8ogOaKk4Y,0.23219202
psWarhwc4eY,0.2314849
TlF8M_U7khI,0.221806
npGwq_ZxVKk,0.22911727
agij_IxGjCI,0.23378268
kRpPu6OoP00,0.24522594
VpK8fpqPJT0,0.21603002
4jpXt-Y-Nm4,0.22234131
BLoTRK7sPk8,0.23383543
gYo-icA2848,0.23200263
vyit-1zKsZ4,0.25379193
1gBwyk4MGG8,0.2231791
QLzJDFevQHM,0.20720318
XYzJBJi_5S0,0.21541506
-A8qdoRJbPI,0.24524273
6i2sJwxw5Uc,0.2329513
UNXDA-h6pP8,0.21890286
Pt7s-mV8Ui0,0.22450303
noo8-_LYIpA,0.22959143
vbl7QeqfE-Q,0.24914409
eCSOQP9QTXI,0.24163756
UzivaxYf1iM,0.24130847
Ny_X4ZSbuKA,0.23499501
5xeCd1lQuXs,0.22634873
XZP93IEudag,0.23629297
4DVah3bZlV8,0.23661081
o4ah2I8YjkQ,0.2462198
-AndA2beJVc,0.24710672
ykXKit5hvJ8,0.22667052
G_SvwkqZJAY,0.22473884
Le122vas9aM,0.23166016
VMZtG0O9sbU,0.23822841
VJyTDiFJxhI,0.22896282
rslUfl6OsV4,0.25214964
eAIKvD_gLJo,0.22059703
F1ma0rjK1hc,0.22533594
wZORPVmXN7k,0.23354615
4xgPBb1xHYI,0.25038984
