Video_Name,DemoFrameLen,OriIntroFrameLen,MainFrameLen,OriMatchedFrameLen,GenFramedMatchedLen,Ori_Gen_Intersect,LD_FIXED_ori,Ori_Intro_Clips,Gen_Intro_Clips,Ori Repeat Ratio,Gen Repeat Ratio
j1Pb8YU8wQo,135,13,1497,13,135,0,135,0.20689655172413793,0.4,0.03448275862068961,0.11111111111111116
89xTTczbv0E,103,45,2545,45,103,2,102,0.6638655462184874,0.4174757281553398,0.05084745762711862,0.27184466019417475
FG1hCPijyj4,123,10,677,10,123,3,121,0.5,0.34959349593495936,0.052631578947368474,0.2682926829268293
ATvKJ_HftNs,154,34,2900,34,154,2,152,0.5847457627118644,0.4155844155844156,0.11864406779661019,0.1558441558441559
2n7xgho1gIo,140,24,3205,24,140,1,139,0.6615384615384615,0.4928571428571429,0.0,0.19285714285714284
nTq1Sd9N7E8,120,12,697,12,120,1,119,0.23809523809523808,0.38333333333333336,0.1428571428571429,0.2833333333333333
NsRj-9Y4fZ8,130,20,1645,20,130,3,127,0.4426229508196721,0.4076923076923077,0.033333333333333326,0.17692307692307696
OhM-Aeyqp6c,142,41,1609,41,142,2,141,0.4948453608247423,0.4154929577464789,0.27083333333333337,0.24647887323943662
HTdrfsG2ikA,125,24,2477,24,125,3,124,0.6956521739130435,0.472,0.0,0.28800000000000003
FFJb0M-cur0,105,7,683,7,105,2,104,0.6,0.4095238095238095,0.05882352941176472,0.22857142857142854
khyuH_QfoWU,145,22,2616,22,145,1,144,0.7083333333333334,0.47586206896551725,0.125,0.26206896551724135
Dy8ogOaKk4Y,126,46,2376,46,126,4,123,0.38823529411764707,0.40476190476190477,0.11764705882352944,0.23015873015873012
psWarhwc4eY,122,12,2463,12,122,1,122,0.2891566265060241,0.45081967213114754,0.024390243902439046,0.24590163934426235
TlF8M_U7khI,115,20,2550,20,115,2,113,0.4787234042553192,0.5130434782608696,0.0,0.26086956521739135
npGwq_ZxVKk,118,5,2502,5,118,1,118,0.32558139534883723,0.4576271186440678,0.0,0.2033898305084746
agij_IxGjCI,127,16,2438,16,127,3,125,0.24299065420560748,0.49606299212598426,0.018867924528301883,0.2755905511811023
kRpPu6OoP00,112,5,1035,5,112,0,112,0.12727272727272726,0.44642857142857145,0.11111111111111116,0.2321428571428571
VpK8fpqPJT0,137,25,2496,25,137,1,137,0.54,0.35036496350364965,0.16000000000000003,0.2043795620437956
4jpXt-Y-Nm4,105,43,2482,43,105,0,105,0.7777777777777778,0.44761904761904764,0.1333333333333333,0.12380952380952381
