Video_Name,Clip_Score
j1Pb8YU8wQo,0.6244321
89xTTczbv0E,0.6215591
FG1hCPijyj4,0.534534
ATvKJ_HftNs,0.59717816
2n7xgho1gIo,0.59788936
nTq1Sd9N7E8,0.5788515
NsRj-9Y4fZ8,0.5928851
OhM-Aeyqp6c,0.63184166
HTdrfsG2ikA,0.5657198
FFJb0M-cur0,0.6210439
khyuH_QfoWU,0.6024015
Dy8ogOaKk4Y,0.5833929
psWarhwc4eY,0.6096913
TlF8M_U7khI,0.5700384
npGwq_ZxVKk,0.60947055
agij_IxGjCI,0.58907694
kRpPu6OoP00,0.62576014
VpK8fpqPJT0,0.6067591
4jpXt-Y-Nm4,0.5622739
BLoTRK7sPk8,0.60017127
gYo-icA2848,0.5797277
vyit-1zKsZ4,0.62798864
1gBwyk4MGG8,0.56281006
QLzJDFevQHM,0.5472064
XYzJBJi_5S0,0.5555186
-A8qdoRJbPI,0.6183757
6i2sJwxw5Uc,0.5712979
UNXDA-h6pP8,0.57870483
Pt7s-mV8Ui0,0.544123
noo8-_LYIpA,0.6006171
vbl7QeqfE-Q,0.63536984
eCSOQP9QTXI,0.6065694
UzivaxYf1iM,0.6232923
Ny_X4ZSbuKA,0.58832014
5xeCd1lQuXs,0.59333545
XZP93IEudag,0.6094018
4DVah3bZlV8,0.59280896
o4ah2I8YjkQ,0.62745166
-AndA2beJVc,0.6491889
ykXKit5hvJ8,0.591032
G_SvwkqZJAY,0.5786248
Le122vas9aM,0.5705947
VMZtG0O9sbU,0.5958577
VJyTDiFJxhI,0.5574591
rslUfl6OsV4,0.6336601
eAIKvD_gLJo,0.5678236
F1ma0rjK1hc,0.5745059
wZORPVmXN7k,0.5899111
4xgPBb1xHYI,0.64875877
