Video_Name,Clip_Score
j1Pb8YU8wQo,0.24977282
89xTTczbv0E,0.24862361
FG1hCPijyj4,0.21381357
ATvKJ_HftNs,0.23887126
2n7xgho1gIo,0.23915574
nTq1Sd9N7E8,0.23154059
NsRj-9Y4fZ8,0.237154
OhM-Aeyqp6c,0.25273666
HTdrfsG2ikA,0.2262879
FFJb0M-cur0,0.24841756
khyuH_QfoWU,0.24096058
Dy8ogOaKk4Y,0.23335719
psWarhwc4eY,0.2438765
TlF8M_U7khI,0.22801532
npGwq_ZxVKk,0.24378818
agij_IxGjCI,0.23563077
kRpPu6OoP00,0.25030404
VpK8fpqPJT0,0.24270363
4jpXt-Y-Nm4,0.22490957
BLoTRK7sPk8,0.24006851
gYo-icA2848,0.23189108
vyit-1zKsZ4,0.25119546
1gBwyk4MGG8,0.22512402
QLzJDFevQHM,0.21888256
XYzJBJi_5S0,0.22220743
-A8qdoRJbPI,0.24735026
6i2sJwxw5Uc,0.22851914
UNXDA-h6pP8,0.23148194
Pt7s-mV8Ui0,0.21764922
noo8-_LYIpA,0.24024685
vbl7QeqfE-Q,0.25414792
eCSOQP9QTXI,0.24262775
UzivaxYf1iM,0.24931693
Ny_X4ZSbuKA,0.23532806
5xeCd1lQuXs,0.23733416
XZP93IEudag,0.24376072
4DVah3bZlV8,0.23712358
o4ah2I8YjkQ,0.25098065
-AndA2beJVc,0.25967556
ykXKit5hvJ8,0.2364128
G_SvwkqZJAY,0.2314499
Le122vas9aM,0.22823787
VMZtG0O9sbU,0.23834307
VJyTDiFJxhI,0.22298363
rslUfl6OsV4,0.25346404
eAIKvD_gLJo,0.22712941
F1ma0rjK1hc,0.22980237
wZORPVmXN7k,0.2359644
4xgPBb1xHYI,0.25950348
