Video_Name,DemoFrameLen,OriIntroFrameLen,MainFrameLen,OriMatchedFrameLen,GenFramedMatchedLen,Ori_Gen_Intersect,LD_FIXED_ori,Ori_Intro_Clips,Gen_Intro_Clips,Ori Repeat Ratio,Gen Repeat Ratio
j1Pb8YU8wQo,135,13,1497,13,135,1,134,0.20689655172413793,0.34814814814814815,0.03448275862068961,0.10370370370370374
89xTTczbv0E,103,45,2545,45,103,1,102,0.6638655462184874,0.33980582524271846,0.05084745762711862,0.1456310679611651
FG1hCPijyj4,123,10,677,10,123,3,122,0.5,0.3902439024390244,0.052631578947368474,0.2764227642276422
ATvKJ_HftNs,154,34,2900,34,154,1,153,0.5847457627118644,0.44805194805194803,0.11864406779661019,0.22077922077922074
2n7xgho1gIo,140,24,3205,24,140,0,140,0.6615384615384615,0.45714285714285713,0.0,0.2785714285714286
nTq1Sd9N7E8,120,12,697,12,120,3,118,0.23809523809523808,0.5,0.1428571428571429,0.275
NsRj-9Y4fZ8,130,20,1645,20,130,2,129,0.4426229508196721,0.46923076923076923,0.033333333333333326,0.16923076923076918
OhM-Aeyqp6c,142,41,1609,41,142,0,142,0.4948453608247423,0.47183098591549294,0.27083333333333337,0.21830985915492962
HTdrfsG2ikA,125,24,2477,24,125,0,125,0.6956521739130435,0.456,0.0,0.14400000000000002
FFJb0M-cur0,105,7,683,7,105,1,104,0.6,0.38095238095238093,0.05882352941176472,0.20952380952380956
khyuH_QfoWU,145,22,2616,22,145,0,145,0.7083333333333334,0.46206896551724136,0.125,0.29655172413793107
Dy8ogOaKk4Y,126,46,2376,46,126,4,124,0.38823529411764707,0.4444444444444444,0.11764705882352944,0.08730158730158732
psWarhwc4eY,122,12,2463,12,122,0,122,0.2891566265060241,0.48360655737704916,0.024390243902439046,0.28688524590163933
TlF8M_U7khI,115,20,2550,20,115,4,114,0.4787234042553192,0.4608695652173913,0.0,0.17391304347826086
npGwq_ZxVKk,118,5,2502,5,118,1,117,0.32558139534883723,0.4322033898305085,0.0,0.19491525423728817
agij_IxGjCI,127,16,2438,16,127,1,126,0.24299065420560748,0.4094488188976378,0.018867924528301883,0.14960629921259838
kRpPu6OoP00,112,5,1035,5,112,0,112,0.12727272727272726,0.4732142857142857,0.11111111111111116,0.2410714285714286
VpK8fpqPJT0,137,25,2496,25,137,0,137,0.54,0.45255474452554745,0.16000000000000003,0.3868613138686131
4jpXt-Y-Nm4,105,43,2482,43,105,1,105,0.7777777777777778,0.4,0.1333333333333333,0.10476190476190472
BLoTRK7sPk8,142,16,3149,16,142,0,142,0.43529411764705883,0.4014084507042254,0.0,0.22535211267605637
gYo-icA2848,208,27,2425,27,208,1,207,0.4132231404958678,0.4519230769230769,0.06666666666666665,0.22596153846153844
vyit-1zKsZ4,145,7,1632,7,145,0,145,0.1891891891891892,0.4896551724137931,0.0,0.3310344827586207
1gBwyk4MGG8,144,25,1500,25,144,5,139,0.41379310344827586,0.4305555555555556,0.13793103448275867,0.35416666666666663
QLzJDFevQHM,139,12,2599,12,139,0,139,0.5892857142857143,0.33093525179856115,0.0,0.24460431654676262
XYzJBJi_5S0,106,22,2736,22,106,3,103,0.4716981132075472,0.37735849056603776,0.037735849056603765,0.06603773584905659
-A8qdoRJbPI,147,10,696,10,147,1,146,0.26,0.36054421768707484,0.040000000000000036,0.26530612244897955
6i2sJwxw5Uc,105,25,2481,25,105,3,105,0.5,0.45714285714285713,0.09677419354838712,0.09523809523809523
UNXDA-h6pP8,141,33,1594,33,141,0,141,0.5258620689655172,0.40425531914893614,0.06896551724137934,0.276595744680851
Pt7s-mV8Ui0,102,23,2467,23,102,0,102,0.34177215189873417,0.5,0.2564102564102564,0.17647058823529416
noo8-_LYIpA,133,5,1507,5,133,1,132,0.1836734693877551,0.37593984962406013,0.0,0.21804511278195493
vbl7QeqfE-Q,170,39,2538,39,170,2,169,0.6587301587301587,0.3588235294117647,0.031746031746031744,0.31176470588235294
eCSOQP9QTXI,183,25,2600,25,183,0,183,0.515625,0.45901639344262296,0.0625,0.28415300546448086
UzivaxYf1iM,115,10,674,10,115,0,115,0.3404255319148936,0.3652173913043478,0.13043478260869568,0.22608695652173916
Ny_X4ZSbuKA,119,12,695,12,119,1,119,0.37254901960784315,0.3949579831932773,0.07999999999999996,0.2773109243697479
5xeCd1lQuXs,139,15,2497,15,139,1,138,0.4489795918367347,0.4460431654676259,0.0,0.25899280575539574
XZP93IEudag,176,16,679,16,176,0,176,0.4583333333333333,0.4715909090909091,0.11111111111111116,0.34659090909090906
4DVah3bZlV8,105,48,2432,48,105,1,105,0.5309734513274337,0.5238095238095238,0.2857142857142857,0.19047619047619047
o4ah2I8YjkQ,159,6,698,6,159,0,159,0.22641509433962265,0.31446540880503143,0.11538461538461542,0.3144654088050315
-AndA2beJVc,133,34,2591,34,133,0,133,0.5068493150684932,0.42105263157894735,0.16666666666666663,0.16541353383458646
ykXKit5hvJ8,139,22,3205,22,139,0,139,0.7538461538461538,0.38848920863309355,0.0,0.27338129496402874
G_SvwkqZJAY,181,21,2460,21,181,2,178,0.38372093023255816,0.4088397790055249,0.13953488372093026,0.3646408839779005
Le122vas9aM,133,35,5227,35,133,1,132,0.6,0.5714285714285714,0.0714285714285714,0.27819548872180455
VMZtG0O9sbU,121,13,2479,13,121,0,121,0.373134328358209,0.47107438016528924,0.0,0.25619834710743805
VJyTDiFJxhI,117,11,3087,11,117,1,116,0.6551724137931034,0.46153846153846156,0.2142857142857143,0.17948717948717952
rslUfl6OsV4,160,32,1613,32,160,0,160,0.5053763440860215,0.3625,0.13043478260869568,0.35624999999999996
