Video_Name,Clip_Score
j1Pb8YU8wQo,0.6092334
89xTTczbv0E,0.62571967
FG1hCPijyj4,0.5262335
ATvKJ_HftNs,0.5278126
2n7xgho1gIo,0.61911523
nTq1Sd9N7E8,0.58251655
NsRj-9Y4fZ8,0.5622977
OhM-Aeyqp6c,0.63573164
HTdrfsG2ikA,0.54773265
FFJb0M-cur0,0.61547923
khyuH_QfoWU,0.6068764
Dy8ogOaKk4Y,0.55427855
psWarhwc4eY,0.5906494
TlF8M_U7khI,0.56425655
npGwq_ZxVKk,0.5790275
agij_IxGjCI,0.5885966
kRpPu6OoP00,0.6450186
VpK8fpqPJT0,0.5539188
4jpXt-Y-Nm4,0.531544
BLoTRK7sPk8,0.59177774
gYo-icA2848,0.54964435
vyit-1zKsZ4,0.6420303
1gBwyk4MGG8,0.5627702
QLzJDFevQHM,0.54207474
XYzJBJi_5S0,0.55403215
-A8qdoRJbPI,0.6238072
6i2sJwxw5Uc,0.5853372
UNXDA-h6pP8,0.55389535
Pt7s-mV8Ui0,0.5696717
noo8-_LYIpA,0.58793753
vbl7QeqfE-Q,0.5907982
eCSOQP9QTXI,0.6007444
UzivaxYf1iM,0.6173805
Ny_X4ZSbuKA,0.587881
5xeCd1lQuXs,0.5881088
XZP93IEudag,0.57603455
4DVah3bZlV8,0.598888
o4ah2I8YjkQ,0.5921379
-AndA2beJVc,0.5836967
ykXKit5hvJ8,0.5882954
G_SvwkqZJAY,0.5552841
Le122vas9aM,0.5577925
VMZtG0O9sbU,0.5967415
VJyTDiFJxhI,0.56388307
rslUfl6OsV4,0.6085714
eAIKvD_gLJo,0.55034363
F1ma0rjK1hc,0.5551052
wZORPVmXN7k,0.5851779
4xgPBb1xHYI,0.6290936
