Video_Name,Clip_Score
j1Pb8YU8wQo,0.24369337
89xTTczbv0E,0.2502879
FG1hCPijyj4,0.2104934
ATvKJ_HftNs,0.21112505
2n7xgho1gIo,0.24764606
nTq1Sd9N7E8,0.23300664
NsRj-9Y4fZ8,0.22491908
OhM-Aeyqp6c,0.25429267
HTdrfsG2ikA,0.21909307
FFJb0M-cur0,0.24619168
khyuH_QfoWU,0.24275056
Dy8ogOaKk4Y,0.22171141
psWarhwc4eY,0.23625977
TlF8M_U7khI,0.22570264
npGwq_ZxVKk,0.23161092
agij_IxGjCI,0.23543866
kRpPu6OoP00,0.25800744
VpK8fpqPJT0,0.22156751
4jpXt-Y-Nm4,0.21261762
BLoTRK7sPk8,0.2367111
gYo-icA2848,0.21985772
vyit-1zKsZ4,0.25681213
1gBwyk4MGG8,0.22510809
QLzJDFevQHM,0.21682987
XYzJBJi_5S0,0.2216129
-A8qdoRJbPI,0.24952291
6i2sJwxw5Uc,0.23413491
UNXDA-h6pP8,0.22155814
Pt7s-mV8Ui0,0.22786869
noo8-_LYIpA,0.23517503
vbl7QeqfE-Q,0.23631929
eCSOQP9QTXI,0.24029776
UzivaxYf1iM,0.24695219
Ny_X4ZSbuKA,0.23515244
5xeCd1lQuXs,0.23524351
XZP93IEudag,0.23041381
4DVah3bZlV8,0.23955522
o4ah2I8YjkQ,0.23685513
-AndA2beJVc,0.23347867
ykXKit5hvJ8,0.23531818
G_SvwkqZJAY,0.22211364
Le122vas9aM,0.223117
VMZtG0O9sbU,0.23869656
VJyTDiFJxhI,0.22555321
rslUfl6OsV4,0.24342856
eAIKvD_gLJo,0.22013742
F1ma0rjK1hc,0.22204208
wZORPVmXN7k,0.2340712
4xgPBb1xHYI,0.25163743
