Video_Name,DemoFrameLen,OriIntroFrameLen,MainFrameLen,OriMatchedFrameLen,GenFramedMatchedLen,Ori_Gen_Intersect,LD_FIXED_ori,Ori_Intro_Clips,Gen_Intro_Clips,Ori Repeat Ratio,Gen Repeat Ratio
j1Pb8YU8wQo,135,13,1497,13,135,0,135,0.20689655172413793,0.2518518518518518,0.03448275862068961,0.274074074074074
89xTTczbv0E,103,45,2545,45,103,1,102,0.6638655462184874,0.27184466019417475,0.05084745762711862,0.08737864077669899
FG1hCPijyj4,123,10,677,10,123,1,122,0.5,0.21951219512195122,0.052631578947368474,0.3089430894308943
ATvKJ_HftNs,154,34,2900,34,154,1,153,0.5847457627118644,0.33116883116883117,0.11864406779661019,0.2142857142857143
2n7xgho1gIo,140,24,3205,24,140,0,140,0.6615384615384615,0.3142857142857143,0.0,0.3142857142857143
nTq1Sd9N7E8,120,12,697,12,120,3,118,0.23809523809523808,0.21666666666666667,0.1428571428571429,0.3416666666666667
NsRj-9Y4fZ8,130,20,1645,20,130,0,130,0.4426229508196721,0.26153846153846155,0.033333333333333326,0.3153846153846154
OhM-Aeyqp6c,142,41,1609,41,142,4,140,0.4948453608247423,0.2746478873239437,0.27083333333333337,0.3943661971830986
HTdrfsG2ikA,125,24,2477,24,125,1,124,0.6956521739130435,0.304,0.0,0.23199999999999998
FFJb0M-cur0,105,7,683,7,105,2,103,0.6,0.21904761904761905,0.05882352941176472,0.32380952380952377
khyuH_QfoWU,145,22,2616,22,145,1,145,0.7083333333333334,0.2827586206896552,0.125,0.27586206896551724
Dy8ogOaKk4Y,126,46,2376,46,126,0,126,0.38823529411764707,0.29365079365079366,0.11764705882352944,0.3571428571428571
psWarhwc4eY,122,12,2463,12,122,1,122,0.2891566265060241,0.2540983606557377,0.024390243902439046,0.38524590163934425
TlF8M_U7khI,115,20,2550,20,115,1,114,0.4787234042553192,0.26956521739130435,0.0,0.27826086956521734
npGwq_ZxVKk,118,5,2502,5,118,0,118,0.32558139534883723,0.3050847457627119,0.0,0.364406779661017
agij_IxGjCI,127,16,2438,16,127,1,126,0.24299065420560748,0.3464566929133858,0.018867924528301883,0.25984251968503935
kRpPu6OoP00,112,5,1035,5,112,0,112,0.12727272727272726,0.21428571428571427,0.11111111111111116,0.3482142857142857
VpK8fpqPJT0,137,25,2496,25,137,4,134,0.54,0.1897810218978102,0.16000000000000003,0.17518248175182483
4jpXt-Y-Nm4,105,43,2482,43,105,1,104,0.7777777777777778,0.2761904761904762,0.1333333333333333,0.3142857142857143
BLoTRK7sPk8,142,16,3149,16,142,0,142,0.43529411764705883,0.21830985915492956,0.0,0.49295774647887325
gYo-icA2848,208,27,2425,27,208,1,207,0.4132231404958678,0.22115384615384615,0.06666666666666665,0.4278846153846154
vyit-1zKsZ4,145,7,1632,7,145,0,145,0.1891891891891892,0.2620689655172414,0.0,0.3310344827586207
1gBwyk4MGG8,144,25,1500,25,144,4,139,0.41379310344827586,0.2777777777777778,0.13793103448275867,0.45138888888888884
QLzJDFevQHM,139,12,2599,12,139,0,139,0.5892857142857143,0.302158273381295,0.0,0.4316546762589928
XYzJBJi_5S0,106,22,2736,22,106,0,106,0.4716981132075472,0.2641509433962264,0.037735849056603765,0.17924528301886788
-A8qdoRJbPI,147,10,696,10,147,3,144,0.26,0.1836734693877551,0.040000000000000036,0.3877551020408163
6i2sJwxw5Uc,105,25,2481,25,105,1,104,0.5,0.3238095238095238,0.09677419354838712,0.2571428571428571
UNXDA-h6pP8,141,33,1594,33,141,5,137,0.5258620689655172,0.24113475177304963,0.06896551724137934,0.36170212765957444
Pt7s-mV8Ui0,102,23,2467,23,102,3,100,0.34177215189873417,0.30392156862745096,0.2564102564102564,0.27450980392156865
noo8-_LYIpA,133,5,1507,5,133,1,132,0.1836734693877551,0.2781954887218045,0.0,0.26315789473684215
vbl7QeqfE-Q,170,39,2538,39,170,1,169,0.6587301587301587,0.2647058823529412,0.031746031746031744,0.47058823529411764
eCSOQP9QTXI,183,25,2600,25,183,2,181,0.515625,0.29508196721311475,0.0625,0.30601092896174864
UzivaxYf1iM,115,10,674,10,115,1,114,0.3404255319148936,0.2608695652173913,0.13043478260869568,0.31304347826086953
Ny_X4ZSbuKA,119,12,695,12,119,0,119,0.37254901960784315,0.21008403361344538,0.07999999999999996,0.2016806722689075
5xeCd1lQuXs,139,15,2497,15,139,0,139,0.4489795918367347,0.31654676258992803,0.0,0.3597122302158273
XZP93IEudag,176,16,679,16,176,1,175,0.4583333333333333,0.3068181818181818,0.11111111111111116,0.44318181818181823
4DVah3bZlV8,105,48,2432,48,105,2,104,0.5309734513274337,0.29523809523809524,0.2857142857142857,0.21904761904761905
o4ah2I8YjkQ,159,6,698,6,159,1,158,0.22641509433962265,0.3081761006289308,0.11538461538461542,0.4779874213836478
-AndA2beJVc,133,34,2591,34,133,0,133,0.5068493150684932,0.2556390977443609,0.16666666666666663,0.43609022556390975
ykXKit5hvJ8,139,22,3205,22,139,0,139,0.7538461538461538,0.302158273381295,0.0,0.3453237410071942
G_SvwkqZJAY,181,21,2460,21,181,0,181,0.38372093023255816,0.23756906077348067,0.13953488372093026,0.3867403314917127
Le122vas9aM,133,35,5227,35,133,1,132,0.6,0.3684210526315789,0.0714285714285714,0.27819548872180455
VMZtG0O9sbU,121,13,2479,13,121,2,119,0.373134328358209,0.2231404958677686,0.0,0.25619834710743805
VJyTDiFJxhI,117,11,3087,11,117,1,116,0.6551724137931034,0.2905982905982906,0.2142857142857143,0.19658119658119655
rslUfl6OsV4,160,32,1613,32,160,1,160,0.5053763440860215,0.25,0.13043478260869568,0.5375
eAIKvD_gLJo,111,21,2485,21,111,3,108,0.47540983606557374,0.35135135135135137,0.09999999999999998,0.2432432432432432
F1ma0rjK1hc,97,5,2463,5,97,0,97,0.15853658536585366,0.28865979381443296,0.0,0.14432989690721654
wZORPVmXN7k,127,35,2875,35,127,3,124,0.5034965034965035,0.33070866141732286,0.014084507042253502,0.21259842519685035
4xgPBb1xHYI,131,5,673,5,131,0,131,0.125,0.19083969465648856,0.04166666666666663,0.4122137404580153
