Video_Name,Clip_Score
j1Pb8YU8wQo,0.26085052
89xTTczbv0E,0.26905864
FG1hCPijyj4,0.22294146
ATvKJ_HftNs,0.24125716
2n7xgho1gIo,0.26419634
nTq1Sd9N7E8,0.2519173
NsRj-9Y4fZ8,0.2551275
OhM-Aeyqp6c,0.27250984
HTdrfsG2ikA,0.2375007
FFJb0M-cur0,0.25635043
khyuH_QfoWU,0.2556524
Dy8ogOaKk4Y,0.23927787
psWarhwc4eY,0.2648016
TlF8M_U7khI,0.2367919
npGwq_ZxVKk,0.2626629
agij_IxGjCI,0.24403878
kRpPu6OoP00,0.27643606
VpK8fpqPJT0,0.24507807
4jpXt-Y-Nm4,0.23400372
BLoTRK7sPk8,0.26194254
gYo-icA2848,0.24488261
vyit-1zKsZ4,0.26606303
1gBwyk4MGG8,0.25025
QLzJDFevQHM,0.22750063
XYzJBJi_5S0,0.22998159
-A8qdoRJbPI,0.252265
6i2sJwxw5Uc,0.24296863
UNXDA-h6pP8,0.22863342
Pt7s-mV8Ui0,0.23688479
noo8-_LYIpA,0.24019502
vbl7QeqfE-Q,0.25596985
eCSOQP9QTXI,0.25504816
UzivaxYf1iM,0.2543639
Ny_X4ZSbuKA,0.2388836
5xeCd1lQuXs,0.25763077
XZP93IEudag,0.24240832
4DVah3bZlV8,0.23749457
o4ah2I8YjkQ,0.25367934
-AndA2beJVc,0.27947757
ykXKit5hvJ8,0.26322624
G_SvwkqZJAY,0.24775034
Le122vas9aM,0.2402706
VMZtG0O9sbU,0.24924695
VJyTDiFJxhI,0.22777788
rslUfl6OsV4,0.2590902
eAIKvD_gLJo,0.23434716
F1ma0rjK1hc,0.22994158
wZORPVmXN7k,0.25566185
4xgPBb1xHYI,0.25737292
