Video_Name,DemoFrameLen,OriIntroFrameLen,MainFrameLen,OriMatchedFrameLen,GenFramedMatchedLen,Ori_Gen_Intersect,LD_FIXED_ori,Ori_Intro_Clips,Gen_Intro_Clips,Ori Repeat Ratio,Gen Repeat Ratio
j1Pb8YU8wQo,135,13,1497,13,135,0,135,0.20689655172413793,0.32592592592592595,0.03448275862068961,0.19999999999999996
89xTTczbv0E,103,45,2545,45,103,3,103,0.6638655462184874,0.44660194174757284,0.05084745762711862,0.18446601941747576
FG1hCPijyj4,123,10,677,10,123,4,119,0.5,0.44715447154471544,0.052631578947368474,0.2764227642276422
ATvKJ_HftNs,154,34,2900,34,154,2,152,0.5847457627118644,0.3051948051948052,0.11864406779661019,0.24025974025974028
2n7xgho1gIo,140,24,3205,24,140,2,139,0.6615384615384615,0.2785714285714286,0.0,0.4714285714285714
nTq1Sd9N7E8,120,12,697,12,120,0,120,0.23809523809523808,0.3333333333333333,0.1428571428571429,0.42500000000000004
NsRj-9Y4fZ8,130,20,1645,20,130,1,130,0.4426229508196721,0.3923076923076923,0.033333333333333326,0.20769230769230773
OhM-Aeyqp6c,142,41,1609,41,142,5,139,0.4948453608247423,0.44366197183098594,0.27083333333333337,0.33098591549295775
HTdrfsG2ikA,125,24,2477,24,125,2,124,0.6956521739130435,0.368,0.0,0.20799999999999996
FFJb0M-cur0,105,7,683,7,105,0,105,0.6,0.29523809523809524,0.05882352941176472,0.36190476190476195
khyuH_QfoWU,145,22,2616,22,145,0,145,0.7083333333333334,0.32413793103448274,0.125,0.23448275862068968
Dy8ogOaKk4Y,126,46,2376,46,126,3,124,0.38823529411764707,0.3333333333333333,0.11764705882352944,0.30952380952380953
psWarhwc4eY,122,12,2463,12,122,0,122,0.2891566265060241,0.36065573770491804,0.024390243902439046,0.3114754098360656
TlF8M_U7khI,115,20,2550,20,115,2,114,0.4787234042553192,0.391304347826087,0.0,0.20869565217391306
npGwq_ZxVKk,118,5,2502,5,118,0,118,0.32558139534883723,0.3813559322033898,0.0,0.27118644067796616
agij_IxGjCI,127,16,2438,16,127,0,127,0.24299065420560748,0.3858267716535433,0.018867924528301883,0.19685039370078738
kRpPu6OoP00,112,5,1035,5,112,0,112,0.12727272727272726,0.29464285714285715,0.11111111111111116,0.3214285714285714
VpK8fpqPJT0,137,25,2496,25,137,0,137,0.54,0.3284671532846715,0.16000000000000003,0.2992700729927007
4jpXt-Y-Nm4,105,43,2482,43,105,0,105,0.7777777777777778,0.44761904761904764,0.1333333333333333,0.16190476190476188
BLoTRK7sPk8,142,16,3149,16,142,1,141,0.43529411764705883,0.43661971830985913,0.0,0.204225352112676
gYo-icA2848,208,27,2425,27,208,2,207,0.4132231404958678,0.33653846153846156,0.06666666666666665,0.3076923076923077
vyit-1zKsZ4,145,7,1632,7,145,0,145,0.1891891891891892,0.35172413793103446,0.0,0.2551724137931034
1gBwyk4MGG8,144,25,1500,25,144,4,142,0.41379310344827586,0.3680555555555556,0.13793103448275867,0.1875
QLzJDFevQHM,139,12,2599,12,139,0,139,0.5892857142857143,0.3237410071942446,0.0,0.28776978417266186
XYzJBJi_5S0,106,22,2736,22,106,1,106,0.4716981132075472,0.3867924528301887,0.037735849056603765,0.2735849056603774
-A8qdoRJbPI,147,10,696,10,147,1,146,0.26,0.2857142857142857,0.040000000000000036,0.3197278911564626
6i2sJwxw5Uc,105,25,2481,25,105,0,105,0.5,0.34285714285714286,0.09677419354838712,0.20952380952380956
UNXDA-h6pP8,141,33,1594,33,141,3,139,0.5258620689655172,0.3404255319148936,0.06896551724137934,0.19148936170212771
Pt7s-mV8Ui0,102,23,2467,23,102,2,100,0.34177215189873417,0.4019607843137255,0.2564102564102564,0.33333333333333337
noo8-_LYIpA,133,5,1507,5,133,0,133,0.1836734693877551,0.3609022556390977,0.0,0.3157894736842105
vbl7QeqfE-Q,170,39,2538,39,170,4,167,0.6587301587301587,0.3588235294117647,0.031746031746031744,0.3058823529411765
eCSOQP9QTXI,183,25,2600,25,183,0,183,0.515625,0.3114754098360656,0.0625,0.180327868852459
UzivaxYf1iM,115,10,674,10,115,1,114,0.3404255319148936,0.23478260869565218,0.13043478260869568,0.27826086956521734
